channel_id,channel_url
UCCKMZAvEMR7IzVKBxyLb9Lg,https://youtube.com/@floydtvonline?si=jUPNtgg266-y5k8q
UC7WpCrWnAh5DoHtMxbrtMnQ,https://youtube.com/@chocotvok?si=2YVCEG5eRz7k7bcY
UC2Spl5nhZtU_c8w7amfOKqw,https://youtube.com/@gorememedia?si=rYKLiklxHH9n6dee
UCxtCp4e1pGevREzI4aCMjow,https://youtube.com/@elbunkermza?si=DYKceoHFUHXZNPzW
UCKmXYozYivG-QniM45u0THA,https://youtube.com/@malbecplay?si=CJp8lB2RIvVn99L8
UCxy1_VhGyaCbto2-DcXqk_w,https://youtube.com/@serebrosstv?si=XcpEMWAXDYY1bK0E
UCvj_ReH6muKw109uKtZs--g,https://youtube.com/@agenciaaluza?si=tqe-doEcJA4LnwLn
UCRw1y2JAiHN3mcjjCtrBBng,https://youtube.com/@canalbardo?si=IANKmAlZraytP1gI
UCBSWjvvdoYMkgdybOl1TafA,https://youtube.com/@gordivinos?si=ZjBDS7cJsTDiYNYh
UCqRS6ieQfBmNRAmv0MFu5qA,https://youtube.com/@vorterixmza?si=CIJKyzjoWUuHWfSK
UC9kKAxookRd_sLlkmc1ROtA,https://youtube.com/@desdeelfondo?si=4XZvZVeu-Wr1Fab0
